,IDENTIFIER: name,CLASSIFICATION: Component Type,PREPARATION STEP NAME,PROPERTY: Ref No,PROPERTY: CAS No,PROPERTY: EC No,PROPERTY: Description,PROPERTY: Regulations,PROPERTY: Function,PROPERTY: SMILES,PROPERTY: PRICE,PROPERTY: Substantivity,PROPERTY: Odor Strength,PROPERTY: Clean,PROPERTY: Floral,PROPERTY: Rose,PROPERTY: Medicinal,PROPERTY: Phenolic,PROPERTY: Spicy,PROPERTY: Sweet,PROPERTY: Vanilla,PROPERTY: Herbal,PROPERTY: Citrus,PROPERTY: Metallic,PROPERTY: Musk,PROPERTY: Sulfurous,PROPERTY: Bitter,PROPERTY: Regulatory Code
18,BETA-METHYL-CYCLODODECANEETHANOL,PHENOLS,Procure PHENOLS,40470.0, 118562-73-5, 411-410-8,2-Cyclododecylpropan-1-ol,,PERFUMING,CC(CO)C1CCCCCCCCCCC1,25.49472397,,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Regulations
19,CITROL,PHENOLS,Procure PHENOLS,38992.0, 624-15-7, 210-831-2,"3,7-Dimethyl-2,6-octadien-1-ol",,PERFUMING,CC(C)=CCCC(C)=CCO,63.37812908,,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Regulations
20,DIPROPYLENE GLYCOL,PHENOLS,Procure PHENOLS,75742.0, 110-98-5, 203-821-4 / 246-770-3 ,"1,1'-Oxydipropan-2-ol; Oxydipropan-2-ol; Hydroxypropyloxypropanol",,"MASKING, PERFUMING, SOLVENT, VISCOSITY CONTROLLING",CCC(O)OCCCO.CC(O)COCC(C)O.CC(O)COCC(C)O,98.99617929,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Regulations
21,"6,8-DIMETHYL-2-NONANOL",PHENOLS,Procure PHENOLS,39646.0, 70214-77-6, 274-447-7,"6,8-Dimethylnonan-2-ol",,PERFUMING,CC(C)CC(C)CCCC(C)O,16.92979829,56.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Regulations
22,TRIMETHYL-2-CYCLOHEXENOL,PHENOLS,Procure PHENOLS,41192.0, 470-99-5, 207-433-6,"3,5,5-Trimethylcyclohex-2-en-1-ol",,PERFUMING,CC1=CC(O)CC(C)(C)C1,28.29650995,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Regulations
23,2-O-CRESYLETHANOL,PHENOLS,Procure PHENOLS,39394.0, 19819-98-8, 243-349-6,2-Methyl-benzeneethanol,,PERFUMING,Cc1ccccc1CCO,11.30465494,400.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Regulations
24,P-CRESOL,PHENOLS,Procure PHENOLS,35872.0, 106-44-5, 203-398-6,"Phenol, 4-methyl-",,"ANTIMICROBIAL, PERFUMING",Cc1ccc(O)cc1,59.13860056,400.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Regulations
25,PENTAMETHYLCYCLOHEXANEPROPANOL,PHENOLS,Procure PHENOLS,40570.0, 60241-53-4, 262-117-5,"alpha, beta,2,2,6-Pentamethylcyclohexanepropanol",,PERFUMING,CC(O)C(C)CC1C(C)CCCC1(C)C,36.44885,,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Regulations
26,TRIMETHYLTRICYCLODODECANOL,PHENOLS,Procure PHENOLS,41246.0, 472-97-9, 207-458-2,"4,4,8-Trimethyltricyclo[6.3.1.02,5]dodecan-1-ol",,PERFUMING,CC1(C)CC2C1CCC3(C)CCCC2(O)C3,32.41314144,,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Regulations
27,ISOBUTYL LINALOOL,PHENOLS,Procure PHENOLS,40343.0, 56105-46-5, 259-994-1,"3,7,9-Trimethyldeca-1,6-dien-3-ol",,PERFUMING,CC(C)CC(C)=CCCC(C)(O)C=C,73.2210304,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Regulations
