IDENTIFIER: name,CLASSIFICATION: Component Type,PREPARATION STEP NAME,PROPERTY: Ref No,PROPERTY: CAS No,PROPERTY: EC No,PROPERTY: Description,PROPERTY: Regulations,PROPERTY: Function,PROPERTY: SMILES,PROPERTY: PRICE
ISOPROPYL PHENYLACETATE,ACETATE,Procure ACETATE,39739, 4861-85-2, 225-468-5,Isopropyl phenylacetate,,PERFUMING,CC(C)OC(=O)Cc1ccccc1,10.32149074
DIMETHYL PHENYLETHYL CARBINYL ACETATE,ACETATE,Procure ACETATE,39662, 103-07-1, 203-077-0,"1,1-Dimethyl-3-phenylpropyl Acetate",,PERFUMING,CC(=O)OC(C)(C)CCc1ccccc1,23.17194235
CYCLOHEXYL CYCLOPENTENEACETATE,ACETATE,Procure ACETATE,39437, 65405-69-8, 265-740-0,Cyclohexyl cyclopent-2-ene-1-acetate,,PERFUMING,O=C(CC1CCC=C1)OC2CCCCC2,20.43160893
HEXYL ACETATE,ACETATE,Procure ACETATE,87440, 142-92-7, 205-572-7,Hexyl acetate,,"FLAVOURING, MASKING, PERFUMING",CCCCCCOC(C)=O,6.747519321
OCTYL ACETATE,ACETATE,Procure ACETATE,40531, 112-14-1, 203-939-6,Octyl acetate,,PERFUMING,CCCCCCCCOC(C)=O,5.106415276
CYCLODODECYL ACETATE,ACETATE,Procure ACETATE,39424, 6221-92-7, 228-297-4,Cyclododecyl Acetate,,PERFUMING,CC(=O)OC1CCCCCCCCCCC1,11.02689922
ETHYL PALMITATE,ACETATE,Procure ACETATE,76078, 628-97-7, 211-064-6,Ethyl palmitate,,"EMOLLIENT, PERFUMING",CCCCCCCCCCCCCCCC(=O)OCC,12.69347303
ETHYL ACETATE,ACETATE,Procure ACETATE,33805, 141-78-6, 205-500-4,Ethyl acetate,,"PERFUMING, SOLVENT",CCOC(C)=O,24.83522798
DIMETHYL-5-HEXENYL ACETATE,ACETATE,Procure ACETATE,39634, 38228-51-2, 253-840-7,"1,5-Dimethylhex-5-enyl acetate",,PERFUMING,CC(CCCC(C)=C)OC(C)=O,2.22897113
TRANS-3-HEPTENYL ACETATE,ACETATE,Procure ACETATE,40126, 1576-77-8, 216-411-5,(E)-Hept-3-enyl acetate,,PERFUMING,CCC/C=C/CCOC(C)=O,4.73819842
GAMMA-METHYLENEDIHYDROCINNAMYL ACETATE,ACETATE,Procure ACETATE,40675, 7306-12-9, 230-755-3,3-Phenylbut-3-enyl Acetate,,PERFUMING,CC(=O)OCCC(=C)c1ccccc1,19.43282607
PROPYL ACETATE,ACETATE,Procure ACETATE,37264, 109-60-4, 203-686-1,Propyl acetate,,"PERFUMING, SOLVENT",CCCOC(C)=O,24.27783124
